date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:33	169068/169068	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202026%2017:23:32%20GMT	https://www.alhokail.com.sa/ar/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d8%a7%d9%84%d8%aa%d8%ad%d8%a7%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d8%b7%d8%a8%d9%8a%d8%a9-%d8%af%d9%84%d9%8a%d9%84%d9%83-%d9%84%d9%81%d9%87%d9%85-%d9%86%d8%aa%d8%a7%d8%a6	C:/Users/Dell/OneDrive/Attachments/Desktop/gropage/www.alhokail.com.sa/ar/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d8%a7%d9%84%d8%aa%d8%ad%d8%a7%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d8%b7%d8%a8%d9%8a%d8%a9-%d8%af%d9%84%d9%8a%d9%84%d9%83-%d9%84%d9%81%d9%87%d9%85-%d9%86%d8%aa%d8%a7%d8%a6.html	(from )
18:23:34	184/184	---MCZ	200	added ('OK')	text/plain	date:Wed,%2015%20Apr%202026%2017:23:33%20GMT	https://www.alhokail.com.sa/robots.txt		(from )
18:23:35	166584/166584	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2248f910e307deccd776e656104c644452%22	https://www.alhokail.com.sa/ar/feed	C:/Users/Dell/OneDrive/Attachments/Desktop/gropage/www.alhokail.com.sa/ar/feed	(from https://www.alhokail.com.sa/ar/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d8%a7%d9%84%d8%aa%d8%ad%d8%a7%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d8%b7%d8%a8%d9%8a%d8%a9-%d8%af%d9%84%d9%8a%d9%84%d9%83-%d9%84%d9%81%d9%87%d9%85-%d9%86%d8%aa%d8%a7%d8%a6)
18:23:36	4559/4559	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2248f910e307deccd776e656104c644452%22	https://www.alhokail.com.sa/ar/comments/feed	C:/Users/Dell/OneDrive/Attachments/Desktop/gropage/www.alhokail.com.sa/ar/comments/feed	(from https://www.alhokail.com.sa/ar/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d8%a7%d9%84%d8%aa%d8%ad%d8%a7%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d8%b7%d8%a8%d9%8a%d8%a9-%d8%af%d9%84%d9%8a%d9%84%d9%83-%d9%84%d9%81%d9%87%d9%85-%d9%86%d8%aa%d8%a7%d8%a6)
18:23:36	83015/83015	---MCZ	200	added ('OK')	text/css	etag:W/%22121a33-14447-64f6f5b6930e4%22	https://www.alhokail.com.sa/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.8.7	C:/Users/Dell/OneDrive/Attachments/Desktop/gropage/www.alhokail.com.sa/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontenda489.css	(from https://www.alhokail.com.sa/ar/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d8%a7%d9%84%d8%aa%d8%ad%d8%a7%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d8%b7%d8%a8%d9%8a%d8%a9-%d8%af%d9%84%d9%8a%d9%84%d9%83-%d9%84%d9%81%d9%87%d9%85-%d9%86%d8%aa%d8%a7%d8%a6)
18:23:36	0/0	---M--	200	added ('OK')	text/css	etag:%22128b08-0-64ba9c3768ac6%22	https://www.alhokail.com.sa/wp-content/plugins/ht-contactform/blocks/src/assets/css/style-index.css?ver=2.8.2	C:/Users/Dell/OneDrive/Attachments/Desktop/gropage/www.alhokail.com.sa/wp-content/plugins/ht-contactform/blocks/src/assets/css/style-index4dc3.css	(from https://www.alhokail.com.sa/ar/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d8%a7%d9%84%d8%aa%d8%ad%d8%a7%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d8%b7%d8%a8%d9%8a%d8%a9-%d8%af%d9%84%d9%8a%d9%84%d9%83-%d9%84%d9%81%d9%87%d9%85-%d9%86%d8%aa%d8%a7%d8%a6)
18:23:37	2947/2947	---MCZ	200	added ('OK')	text/css	etag:W/%22129a58-b83-64a53c7ccc9b8%22	https://www.alhokail.com.sa/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.5	C:/Users/Dell/OneDrive/Attachments/Desktop/gropage/www.alhokail.com.sa/wp-content/plugins/contact-form-7/includes/css/stylesb5e1.css	(from https://www.alhokail.com.sa/ar/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d8%a7%d9%84%d8%aa%d8%ad%d8%a7%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d8%b7%d8%a8%d9%8a%d8%a9-%d8%af%d9%84%d9%8a%d9%84%d9%83-%d9%84%d9%81%d9%87%d9%85-%d9%86%d8%aa%d8%a7%d8%a6)
18:23:37	152/152	---M--	200	added ('OK')	text/css	etag:%22129a59-98-64a53c7ccca85%22	https://www.alhokail.com.sa/wp-content/plugins/contact-form-7/includes/css/styles-rtl.css?ver=6.1.5	C:/Users/Dell/OneDrive/Attachments/Desktop/gropage/www.alhokail.com.sa/wp-content/plugins/contact-form-7/includes/css/styles-rtlb5e1.css	(from https://www.alhokail.com.sa/ar/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d8%a7%d9%84%d8%aa%d8%ad%d8%a7%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d8%b7%d8%a8%d9%8a%d8%a9-%d8%af%d9%84%d9%8a%d9%84%d9%83-%d9%84%d9%81%d9%87%d9%85-%d9%86%d8%aa%d8%a7%d8%a6)
18:23:37	133357/133357	---MCZ	200	added ('OK')	text/css	etag:W/%22128afc-208ed-62d500d0dbd96%22	https://www.alhokail.com.sa/wp-content/plugins/g-business-reviews-rating/wp/css/css.css?ver=6.9.4	C:/Users/Dell/OneDrive/Attachments/Desktop/gropage/www.alhokail.com.sa/wp-content/plugins/g-business-reviews-rating/wp/css/cssb34e.css	(from https://www.alhokail.com.sa/ar/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d8%a7%d9%84%d8%aa%d8%ad%d8%a7%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d8%b7%d8%a8%d9%8a%d8%a9-%d8%af%d9%84%d9%8a%d9%84%d9%83-%d9%84%d9%81%d9%87%d9%85-%d9%86%d8%aa%d8%a7%d8%a6)
18:23:38	1319/1319	---MCZ	200	added ('OK')	text/css	etag:W/%22149d53-527-64732167a274f%22	https://www.alhokail.com.sa/wp-content/uploads/useanyfont/uaf.css?ver=1767130311	C:/Users/Dell/OneDrive/Attachments/Desktop/gropage/www.alhokail.com.sa/wp-content/uploads/useanyfont/uafac3c.css	(from https://www.alhokail.com.sa/ar/%d9%82%d8%b1%d8%a7%d8%a1%d8%a9-%d8%a7%d9%84%d8%aa%d8%ad%d8%a7%d9%84%d9%8a%d9%84-%d8%a7%d9%84%d8%b7%d8%a8%d9%8a%d8%a9-%d8%af%d9%84%d9%8a%d9%84%d9%83-%d9%84%d9%81%d9%87%d9%85-%d9%86%d8%aa%d8%a7%d8%a6)
